idCliente,nombreCliente,documentoCliente,email,telefono
63,German Rios,CC55443322,german.rios@email.com,3145544332
64,Diana Espinosa,CC33221100,diana.espinosa@email.com,3163322110
65,Raul Fuentes,CC11002233,raul.fuentes@email.com,3181100223
66,Beatriz Naranjo,CC44557799,beatriz.naranjo@email.com,3194455779
67,Samuel Ordonez,CC66779900,samuel.ordonez@email.com,3156677990
68,Patricia Castano,CC88991122,patricia.castano@email.com,3178899112
69,Tomas Becerra,CC11225544,tomas.becerra@email.com,3111122554
70,Daniela Avila,CC33447766,daniela.avila@email.com,3133344776
71,Fernando Arango,CC55669988,fernando.arango@email.com,3105566998
72,Eliana Pineda,CC77881100,eliana.pineda@email.com,3127788110
73,Hugo Lemos,CC99003344,hugo.lemos@email.com,3149900334
74,Alejandra Sierra,CC22336655,alejandra.sierra@email.com,3162233665
75,Roberto Marquez,CC44558877,roberto.marquez@email.com,3184455887
76,Monica Bustos,CC66771122,monica.bustos@email.com,3196677112
77,Julio Escobar,CC88993355,julio.escobar@email.com,3158899335
78,Isabel Zapata,CC11227788,isabel.zapata@email.com,3171122778
79,Nelson Parra,CC33449900,nelson.parra@email.com,3113344990
80,Mariana Restrepo,CC55662233,mariana.restrepo@email.com,3135566223
81,Esteban Gutierrez,CC66778899,esteban.gutierrez@email.com,3206677889
82,Camila Lopez,CC77889900,camila.lopez@email.com,3217788990
83,Jorge Ramirez,CC88990011,jorge.ramirez@email.com,3228899001
84,Natalia Cardenas,CC99001122,natalia.cardenas@email.com,3239900112
85,Andres Herrera,CC11223344,andres.herrera@email.com,3241122334
86,Lorena Rincon,CC22334455,lorena.rincon@email.com,3252233445
87,Felipe Suarez,CC33445566,felipe.suarez@email.com,3263344556
88,Veronica Maldonado,CC44556677,veronica.maldonado@email.com,3274455667
89,Oscar Valencia,CC55667788,oscar.valencia@email.com,3285566778
90,Paula Jimenez,CC66778899,paula.jimenez@email.com,3296677889
91,David Pacheco,CC77889900,david.pacheco@email.com,3207788990
92,Andrea Villalba,CC88990011,andrea.villalba@email.com,3218899001
93,Mauricio Sepulveda,CC99001122,mauricio.sepulveda@email.com,3229900112
94,Carla Rojas,CC11223344,carla.rojas@email.com,3231122334
95,Sebastian Castro,CC22334455,sebastian.castro@email.com,3242233445
96,Ximena Flores,CC33445566,ximena.flores@email.com,3253344556
97,Gustavo Martinez,CC44556677,gustavo.martinez@email.com,3264455667
98,Luisa Alvarez,CC55667788,luisa.alvarez@email.com,3275566778
99,Rodrigo Pena,CC66778899,rodrigo.pena@email.com,3286677889
100,Valentina Serrano,CC77889900,valentina.serrano@email.com,3297788990
